method,split,true_label,predicted_label,count,row_fraction
esm2_35m,random,4.1,1.1,1,0.14285714285714285
esm2_35m,random,4.1,2.1,0,0
esm2_35m,random,4.1,4.1,5,0.7142857142857143
esm2_35m,cluster70,2.7,2.7,26,0.89655172413793105
esm2_35m,cluster70,2.7,3.1,1,0.034482758620689655
esm2_35m,cluster70,2.7,1.1,2,0.068965517241379309
esm2_35m,cluster70,2.7,2.1,0,0
esm2_35m,cluster70,2.7,4.1,0,0
esm2_35m,cluster70,3.1,2.7,5,0.38461538461538464
esm2_35m,cluster70,3.1,3.1,8,0.61538461538461542
esm2_35m,cluster70,3.1,1.1,0,0
esm2_35m,cluster70,3.1,2.1,0,0
esm2_35m,cluster70,3.1,4.1,0,0
